#lambda    flux1    flux2    flux3    flux4
3900.00   0.0047   0.0175  -0.0493   0.0069
3900.91   0.0048   0.0183  -0.0459   0.0090
3901.82   0.0053   0.0206  -0.0467   0.0039
3902.73   0.0055   0.0194  -0.0473  -0.0011
3903.64   0.0051   0.0179  -0.0495   0.0027
3904.56   0.0049   0.0168  -0.0485   0.0127
3905.47   0.0049   0.0176  -0.0422   0.0083
3906.38   0.0046   0.0143  -0.0443   0.0030
3907.29   0.0047   0.0146  -0.0467   0.0007
3908.20   0.0056   0.0204  -0.0437  -0.0074
3909.12   0.0066   0.0251  -0.0437  -0.0172
3910.03   0.0070   0.0250  -0.0401  -0.0181
3910.94   0.0071   0.0241  -0.0383  -0.0089
3911.85   0.0072   0.0251  -0.0363  -0.0117
3912.77   0.0074   0.0245  -0.0379  -0.0143
3913.68   0.0074   0.0268  -0.0394  -0.0145
3914.60   0.0074   0.0285  -0.0381  -0.0195
3915.51   0.0073   0.0261  -0.0387  -0.0168
3916.42   0.0070   0.0248  -0.0420  -0.0116
3917.34   0.0067   0.0250  -0.0428  -0.0154
3918.25   0.0064   0.0245  -0.0430  -0.0072
3919.17   0.0059   0.0218  -0.0476  -0.0034
3920.08   0.0052   0.0179  -0.0447  -0.0036
3921.00   0.0045   0.0161  -0.0458   0.0016
3921.91   0.0041   0.0178  -0.0491   0.0072
3922.83   0.0041   0.0150  -0.0458   0.0107
3923.75   0.0043   0.0157  -0.0457   0.0121
3924.66   0.0046   0.0188  -0.0470   0.0074
3925.58   0.0049   0.0186  -0.0451   0.0020
3926.49   0.0047   0.0177  -0.0392   0.0047
3927.41   0.0043   0.0180  -0.0408   0.0023
3928.33   0.0037   0.0144  -0.0405  -0.0008
3929.25   0.0031   0.0103  -0.0365   0.0017
3930.16   0.0028   0.0107  -0.0316   0.0040
3931.08   0.0024   0.0105  -0.0269   0.0013
3932.00   0.0022   0.0100  -0.0277  -0.0005
3932.92   0.0020   0.0080  -0.0271  -0.0035
3933.84   0.0018   0.0055  -0.0210  -0.0053
3934.75   0.0018   0.0055  -0.0202  -0.0033
3935.67   0.0020   0.0067  -0.0262  -0.0031
3936.59   0.0022   0.0076  -0.0265  -0.0007
3937.51   0.0026   0.0095  -0.0270   0.0044
3938.43   0.0030   0.0108  -0.0292   0.0043
3939.35   0.0036   0.0133  -0.0282   0.0026
3940.27   0.0042   0.0160  -0.0355   0.0043
3941.19   0.0044   0.0167  -0.0444   0.0041
3942.11   0.0044   0.0151  -0.0421   0.0053
3943.03   0.0041   0.0148  -0.0413   0.0093
3943.95   0.0037   0.0127  -0.0445   0.0154
3944.87   0.0035   0.0116  -0.0438   0.0213
3945.79   0.0040   0.0152  -0.0444   0.0180
3946.71   0.0050   0.0211  -0.0454   0.0108
3947.64   0.0057   0.0202  -0.0445   0.0044
3948.56   0.0057   0.0198  -0.0437   0.0009
3949.48   0.0057   0.0226  -0.0420   0.0020
3950.40   0.0062   0.0210  -0.0413  -0.0020
3951.32   0.0068   0.0229  -0.0389  -0.0071
3952.25   0.0071   0.0225  -0.0405  -0.0101
3953.17   0.0068   0.0219  -0.0420  -0.0101
3954.09   0.0067   0.0241  -0.0412  -0.0066
3955.02   0.0071   0.0248  -0.0395  -0.0092
3955.94   0.0071   0.0243  -0.0400  -0.0110
3956.86   0.0064   0.0215  -0.0433  -0.0007
3957.79   0.0057   0.0193  -0.0372   0.0087
3958.71   0.0056   0.0221  -0.0414   0.0059
3959.64   0.0057   0.0229  -0.0459   0.0126
3960.56   0.0053   0.0199  -0.0463   0.0193
3961.48   0.0042   0.0157  -0.0493   0.0214
3962.41   0.0032   0.0120  -0.0439   0.0286
3963.33   0.0032   0.0101  -0.0363   0.0226
3964.26   0.0035   0.0120  -0.0339   0.0110
3965.19   0.0037   0.0132  -0.0278   0.0040
3966.11   0.0034   0.0120  -0.0241   0.0002
3967.04   0.0029   0.0099  -0.0200  -0.0010
3967.96   0.0024   0.0067  -0.0197  -0.0054
3968.89   0.0020   0.0054  -0.0185  -0.0053
3969.82   0.0020   0.0059  -0.0177  -0.0034
3970.74   0.0024   0.0065  -0.0205  -0.0058
3971.67   0.0030   0.0082  -0.0213  -0.0022
3972.60   0.0035   0.0099  -0.0254  -0.0007
3973.53   0.0039   0.0117  -0.0271   0.0029
3974.45   0.0045   0.0139  -0.0279  -0.0005
3975.38   0.0052   0.0156  -0.0318  -0.0015
3976.31   0.0058   0.0176  -0.0315   0.0005
3977.24   0.0062   0.0188  -0.0301  -0.0011
3978.17   0.0067   0.0186  -0.0303  -0.0083
3979.10   0.0072   0.0203  -0.0319  -0.0075
3980.03   0.0077   0.0248  -0.0316  -0.0084
3980.95   0.0081   0.0270  -0.0300  -0.0077
3981.88   0.0080   0.0260  -0.0300  -0.0047
3982.81   0.0078   0.0219  -0.0211  -0.0003
3983.74   0.0077   0.0206  -0.0215   0.0032
3984.67   0.0078   0.0217  -0.0256  -0.0010
3985.60   0.0082   0.0242  -0.0330  -0.0169
3986.54   0.0083   0.0248  -0.0364  -0.0108
3987.47   0.0083   0.0259  -0.0367  -0.0042
3988.40   0.0088   0.0273  -0.0336  -0.0152
3989.33   0.0091   0.0279  -0.0311  -0.0183
3990.26   0.0088   0.0260  -0.0353  -0.0166
3991.19   0.0086   0.0267  -0.0344  -0.0150
3992.12   0.0089   0.0278  -0.0330  -0.0152
3993.06   0.0095   0.0297  -0.0323  -0.0188
3993.99   0.0098   0.0298  -0.0261  -0.0271
3994.92   0.0095   0.0293  -0.0301  -0.0253
3995.85   0.0091   0.0300  -0.0332  -0.0207
3996.79   0.0088   0.0278  -0.0318  -0.0165
3997.72   0.0083   0.0242  -0.0322  -0.0139
3998.65   0.0080   0.0258  -0.0363  -0.0111
3999.59   0.0083   0.0256  -0.0375  -0.0084
4000.52   0.0093   0.0284  -0.0297  -0.0179
4001.45   0.0098   0.0324  -0.0280  -0.0232
4002.39   0.0100   0.0315  -0.0294  -0.0229
4003.32   0.0104   0.0320  -0.0280  -0.0239
4004.26   0.0103   0.0319  -0.0275  -0.0239
4005.19   0.0090   0.0280  -0.0311  -0.0144
4006.13   0.0076   0.0223  -0.0355  -0.0045
4007.06   0.0075   0.0233  -0.0393  -0.0055
4008.00   0.0086   0.0270  -0.0325  -0.0195
4008.94   0.0096   0.0293  -0.0297  -0.0254
4009.87   0.0099   0.0309  -0.0298  -0.0208
4010.81   0.0100   0.0309  -0.0299  -0.0195
4011.74   0.0102   0.0310  -0.0290  -0.0197
4012.68   0.0105   0.0313  -0.0271  -0.0270
4013.62   0.0106   0.0287  -0.0258  -0.0324
4014.56   0.0104   0.0297  -0.0259  -0.0282
4015.49   0.0104   0.0317  -0.0313  -0.0281
4016.43   0.0105   0.0291  -0.0248  -0.0235
4017.37   0.0102   0.0311  -0.0299  -0.0252
4018.31   0.0099   0.0283  -0.0308  -0.0197
4019.24   0.0101   0.0295  -0.0276  -0.0237
4020.18   0.0106   0.0330  -0.0254  -0.0291
4021.12   0.0106   0.0321  -0.0230  -0.0268
4022.06   0.0104   0.0305  -0.0234  -0.0264
4023.00   0.0105   0.0305  -0.0222  -0.0286
4023.94   0.0105   0.0332  -0.0230  -0.0268
4024.88   0.0102   0.0319  -0.0223  -0.0255
4025.82   0.0099   0.0298  -0.0266  -0.0213
4026.76   0.0101   0.0308  -0.0290  -0.0190
4027.70   0.0107   0.0316  -0.0256  -0.0252
4028.64   0.0112   0.0310  -0.0247  -0.0331
4029.58   0.0110   0.0313  -0.0249  -0.0350
4030.52   0.0096   0.0301  -0.0338  -0.0226
4031.46   0.0079   0.0253  -0.0429  -0.0014
4032.40   0.0069   0.0237  -0.0480   0.0067
4033.34   0.0067   0.0230  -0.0508   0.0096
4034.29   0.0067   0.0207  -0.0535   0.0117
4035.23   0.0070   0.0225  -0.0525   0.0058
4036.17   0.0082   0.0252  -0.0434  -0.0035
4037.11   0.0098   0.0293  -0.0340  -0.0184
4038.06   0.0113   0.0316  -0.0243  -0.0384
4039.00   0.0118   0.0326  -0.0178  -0.0373
4039.94   0.0116   0.0337  -0.0215  -0.0323
4040.88   0.0109   0.0312  -0.0279  -0.0320
4041.83   0.0104   0.0280  -0.0279  -0.0278
4042.77   0.0104   0.0320  -0.0349  -0.0336
4043.72   0.0101   0.0315  -0.0373  -0.0255
4044.66   0.0087   0.0263  -0.0368  -0.0103
4045.60   0.0064   0.0203  -0.0445   0.0036
4046.55   0.0049   0.0162  -0.0449   0.0209
4047.49   0.0054   0.0166  -0.0494   0.0179
4048.44   0.0073   0.0233  -0.0501   0.0086
4049.38   0.0091   0.0288  -0.0442  -0.0126
4050.33   0.0103   0.0295  -0.0314  -0.0250
4051.28   0.0111   0.0312  -0.0239  -0.0333
4052.22   0.0112   0.0302  -0.0261  -0.0372
4053.17   0.0108   0.0287  -0.0263  -0.0292
4054.11   0.0107   0.0290  -0.0265  -0.0306
4055.06   0.0104   0.0279  -0.0272  -0.0300
4056.01   0.0101   0.0258  -0.0292  -0.0225
4056.95   0.0100   0.0273  -0.0311  -0.0219
4057.90   0.0096   0.0264  -0.0332  -0.0178
4058.85   0.0090   0.0245  -0.0370  -0.0109
4059.80   0.0092   0.0237  -0.0378  -0.0147
4060.74   0.0101   0.0275  -0.0365  -0.0224
